movie_title,rating
 The Gold Rush,8.083868598995224
 Klaus,8.083012488233194
 Harry Potter and the Deathly Hallows: Part 2,8.08158300061871
 Before Sunrise,8.081300259608627
 12 Years a Slave,8.080408119508277
 Ben-Hur,8.078889492805462
 The Grand Budapest Hotel,8.07827705648112
 On the Waterfront,8.077554740514074
 Gone Girl,8.077163898700254
 Smultronstället,8.074695947653293
 The General,8.074316544585237
 Barry Lyndon,8.07415550550308
 In the Name of the Father,8.073131626201922
 The Deer Hunter,8.072763765369238
 Hacksaw Ridge,8.07180417093285
 The Third Man,8.071667166109089
 Le salaire de la peur,8.069605967329304
 Salinui chueok,8.069298462411524
 Relatos salvajes,8.067730594715593
 Sherlock Jr.,8.067328480401875
 John Wick: Chapter 4,8.066805568699188
 Mr. Smith Goes to Washington,8.065298868273572
 Mad Max: Fury Road,8.063867022591372
 Mary and Max.,8.062264750754593
 How to Train Your Dragon,8.061457208641714
 Dead Poets Society,8.061204081820271
" Monsters, Inc.",8.061167270969086
 Det sjunde inseglet,8.061149516710785
 Jaws,8.060351968491078
 Room,8.058422691103106
 The Big Lebowski,8.056868955717409
 Tôkyô monogatari,8.054419875670527
 Ford v Ferrari,8.05095733589458
 La passion de Jeanne d'Arc,8.0504171716803
 Hotel Rwanda,8.047630170411367
 Rocky,8.046807108546785
 Ratatouille,8.044444971072489
 Platoon,8.043464220996176
 Spotlight,8.041082714979868
 Logan,8.041045121326176
 The Terminator,8.04027225610797
 Stand by Me,8.035485900676449
 Rush,8.034833083079207
 Network,8.034011322458747
 Before Sunset,8.033248720739762
 Into the Wild,8.030253078987666
 The Wizard of Oz,8.030112094651516
 The Best Years of Our Lives,8.02841273931085
 The Exorcist,8.026587573478475
 Groundhog Day,8.026138828323251
 The Incredibles,8.025182582333695
 La haine,8.025021069793809
 To Be or Not to Be,8.024780607056202
 Pirates of the Caribbean: The Curse of the Black Pearl,8.02412666849646
 Hachi: A Dog's Tale,8.022163227483228
 The Grapes of Wrath,8.021896768602979
 La battaglia di Algeri,8.021870655677565
 Pather Panchali,8.021269900133703
 Babam ve Oglum,8.019588746869234
 Amores perros,8.019501431240863
